index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province
60,carewest — signal pointe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3H4M3,calgary,ab
61,centennial centre for mental health and brain injury,psychiatric,Hospitals,Public Health Agency of Canada,,,,T4J1R8,ponoka,ab
62,central alberta cancer centre,,Hospitals,Province of Alberta,3942,50a,avenue,T4N4E7,red deer,ab
63,central peace health complex,general,Hospitals,Public Health Agency of Canada,,5010,45 ave,T0H3G0,spirit river,ab
64,chantelle management ltd. — edith cavell care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1J0V6,lethbridge,ab
65,chantelle management ltd. — grande prairie care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8V3A2,grande prairie,ab
66,chinook regional hospital,general,Hospitals,Public Health Agency of Canada,,960,19 st s,T1J1W5,lethbridge,ab
67,claresholm centre for mental health and addictions,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0L0T0,claresholm,ab
68,claresholm general hospital,general,Hospitals,Public Health Agency of Canada,,221,43 ave w,T0L0T0,claresholm,ab
69,coaldale health centre,general,Hospitals,Public Health Agency of Canada,,2100,11 st,T1M1L2,coaldale,ab
70,cochrane community health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4C0S4,cochrane,ab
71,cold lake healthcare centre,general,Hospitals,Public Health Agency of Canada,,314,25 st,T9M1G6,cold lake,ab
72,consort hospital,general,Hospitals,Public Health Agency of Canada,,5402,52 ave,T0C1B0,consort,ab
73,consort hospital and care centre,,Hospitals,Province of Alberta,,5402,52 avenue,T0C1B0,consort,ab
74,contours oral surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T6W2Z4,edmonton,ab
75,coronation hospital and care centre,,Hospitals,Province of Alberta,,5000,municipal road,T0C1C0,coronation,ab
76,coronation hspital & care centre,general,Hospitals,Public Health Agency of Canada,,5000,municipal rd,T0C1C0,coronation,ab
77,covenant care — foyer lacombe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab
78,covenant care — villa marie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P0S3,red deer,ab
79,covenant health bonnyville health centre,,Hospitals,Canadian Institute for Health Information,,5001,lakeshore drive,T9N1M5,bonnyville,ab
80,covenant health bonnyville healthcare centre,long term care,Hospitals,Canadian Institute for Health Information,,,,T9N2J7,bonnyville,ab
81,covenant health edmonton general continuing care centre,long term care,Hospitals,Canadian Institute for Health Information,,,,T5K0L4,edmonton,ab
82,covenant health grey nuns community hospital,,Hospitals,Canadian Institute for Health Information,,1100,youville drive w,T6L5X8,edmonton,ab
83,covenant health killam health care centre,,Hospitals,Canadian Institute for Health Information,,5203,49 avenue,T0B2L0,killam,ab
84,covenant health mary immaculate care centre,long term care,Hospitals,Canadian Institute for Health Information,,,,T0B3H0,mundare,ab
85,covenant health mineral springs hospital,,Hospitals,Canadian Institute for Health Information,,305,lynx street,T1L1B8,banff,ab
86,covenant health misericordia community hospital,,Hospitals,Canadian Institute for Health Information,,16940,87 avenue,T5R4H5,edmonton,ab
87,covenant health our lady of the rosary hospital,general,Hospitals,Public Health Agency of Canada,,5402,47 st,T0C0X0,castor,ab
88,covenant health st. joseph's general hospital [ab],,Hospitals,Canadian Institute for Health Information,,5241,43 street,T9C1C6,vegreville,ab
89,covenant health st. joseph’s auxiliary hospital,long term care,Hospitals,Canadian Institute for Health Information,,,,T6J6W1,edmonton,ab
90,covenant health st. mary's hospital [camrose],,Hospitals,Canadian Institute for Health Information,,4607,53 street,T4V1Y5,camrose,ab
91,covenant health st. mary’s health care centre,long term care,Hospitals,Canadian Institute for Health Information,,,,T0M2C0,trochu,ab
92,covenant health st. michael’s health centre,long term care,Hospitals,Canadian Institute for Health Information,,,,T1J4V5,lethbridge,ab
93,covenant health villa caritas,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5R0A4,edmonton,ab
94,covenant health youville home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N1K1,st albert,ab
95,cross cancer institute,cancer,Hospitals,Public Health Agency of Canada,,11560,university ave,T6G1Z2,edmonton,ab
96,crowsnest pass health centre,general,Hospitals,Public Health Agency of Canada,,2001,107 st,T0K0E0,blairmore,ab
97,david b. climenhaga professional corporation,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab
98,daysland health centre,general,Hospitals,Public Health Agency of Canada,,5920,51 ave,T0B1A0,daysland,ab
99,dental service group,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M0H4,edmonton,ab
100,devon general hospital,general,Hospitals,Public Health Agency of Canada,,101,erie st s,T9G1A6,devon,ab
101,didsbury district health services,general,Hospitals,Public Health Agency of Canada,,1210,20 ave,T0M0W0,didsbury,ab
102,dr. bryan murray professional corporation,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1J2B9,lethbridge,ab
103,dr. cooke extended care centre,,Nursing and residential care facilities,Saskatchewan Health Authorities,,3915,56 avenue,T9V1N9,lloydminster,ab
104,dr. w. r. keir - barrhead continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7N1L2,barrhead,ab
105,drayton valley community cancer centre,,Hospitals,Province of Alberta,,4550,madsen avenue,T7A1N8,drayton valley,ab
106,drayton valley hospital & care centre,general,Hospitals,Public Health Agency of Canada,,4550,madsen ave,T7A1N8,drayton valley,ab
107,drumheller community cancer centre,,Hospitals,Province of Alberta,,351,9 street nw,T0J0Y1,drumheller,ab
108,drumheller health centre,general,Hospitals,Public Health Agency of Canada,,351,9 st nw,T0J0Y1,drumheller,ab
109,east edmonton health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5B0C2,edmonton,ab
110,edmonton chinatown care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5H0G2,edmonton,ab
111,edson healthcare centre,general,Hospitals,Public Health Agency of Canada,,4716,5 ave,T7E1S8,edson,ab
112,elk point healthcare centre,general,Hospitals,Public Health Agency of Canada,,5310,50 ave,T0A1A0,elk point,ab
113,extendicare — athabasca,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9S1K4,athabasca,ab
114,extendicare — bonnyville,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9N2E8,bonnyville,ab
115,extendicare — cedars villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3C0E7,calgary,ab
116,extendicare — eaux claires,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5Z0G7,edmonton,ab
117,extendicare — fort macleod,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L0Z0,fort macleod,ab
118,extendicare — hillcrest,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N1C1,calgary,ab
119,extendicare — holyrood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6C2T1,edmonton,ab
120,extendicare — leduc,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9E6K6,leduc,ab
121,extendicare — mayerthorpe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0E1N0,mayerthorpe,ab
122,extendicare — michener hill,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P0M1,red deer,ab
123,extendicare — st paul,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A3A0,st paul,ab
124,extendicare — viking,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B4N0,viking,ab
125,extendicare — vulcan,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L2B0,vulcan,ab
126,eye q premium laser,active acute hospital,Ambulatory health care services,Canadian Institute for Health Information,,,,T5N1R8,edmonton,ab
127,fairview health complex,general,Hospitals,Public Health Agency of Canada,,10628,110 st,T0H1L0,fairview,ab
128,father lacombe care society — father lacombe care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X2A3,calgary,ab
129,father lacombe care society — providence care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X0X2,calgary,ab
130,foothills medical centre,general,Hospitals,Public Health Agency of Canada,,1403,29 st nw,T2N2T9,calgary,ab
131,fort macleod health centre,general,Hospitals,Public Health Agency of Canada,,744,26 st s,T0L0Z0,fort macleod,ab
132,fort mcmurray community cancer centre,,Hospitals,Province of Alberta,,7,hospital street,T9H1P2,fort mcmurray,ab
133,fort saskatchewan community hospital,,Hospitals,Province of Alberta,,9401,86 avenue,T8L0C6,fort saskatchewan,ab
134,fort saskatchewan health centre,general,Hospitals,Public Health Agency of Canada,,9430,95 st,T8L1R8,fort saskatchewan,ab
135,foundation oral surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2R0H6,calgary,ab
136,fox creek health care centre,general,Hospitals,Public Health Agency of Canada,,600,third st,T0H1P0,fox creek,ab
137,galahad care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B1R0,galahad,ab
138,george mcdougall - smoky lake healthcare centre,,Ambulatory health care services,Province of Alberta,,4212,55 avenue,T0A3C0,smoky lake,ab
139,gimbel eye centre - calgary,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3A2N1,calgary,ab
140,gimbel eye surgical centre - edmonton,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5G0E5,edmonton,ab
141,glenrose rehabilitation hospital,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,10230,111 ave,T5G0B7,edmonton,ab
142,grande cache community health complex,general,Hospitals,Public Health Agency of Canada,,10200,shand ave,T0E0Y0,grande cache,ab
143,grande prairie cancer centre,,Hospitals,Province of Alberta,,,10409-98 street,T8V2E8,grande prairie,ab
144,grey nuns community hospital,general,Hospitals,Public Health Agency of Canada,,1100,youville dr w,T6L5X8,edmonton,ab
145,grimshaw / berwyn and district community health centre,,Ambulatory health care services,Province of Alberta,,5621,wilcox road,T0H1W0,grimshaw,ab
146,grimshaw berwyn community health centre,general,Hospitals,Public Health Agency of Canada,,5621,wilcox rd,T0H1W0,grimshaw,ab
147,groat oral and maxillofacial surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M3J9,edmonton,ab
148,groot dermasurgery centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5N4B2,edmonton,ab
149,hall dental centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1H0M4,lethbridge,ab
150,hanna health centre,general,Hospitals,Public Health Agency of Canada,,904,centre st n,T0J1P0,hanna,ab
151,hardisty health centre,general,Hospitals,Public Health Agency of Canada,,4531,47 st,T0B1V0,hardisty,ab
152,hbot clinics,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2V4R6,calgary,ab
153,high prairie health complex,general,Hospitals,Public Health Agency of Canada,,4620,53 ave,T0G1E0,high prairie,ab
154,high river community cancer centre,,Hospitals,Province of Alberta,,560,9 avenue w,T1V1B3,high river,ab
155,high river general hospital,general,Hospitals,Public Health Agency of Canada,,560,9 ave w,T1V1B3,high river,ab
156,hinton community cancer centre,,Hospitals,Province of Alberta,,1280,switzer drive,T7V1V2,hinton,ab
157,hinton healthcare centre,general,Hospitals,Public Health Agency of Canada,,1280,switzer dr,T7V1V2,hinton,ab
158,holy cross surgical services,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2S3C3,calgary,ab
159,hythe continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0H2C0,hythe,ab
160,innisfail health centre,general,Hospitals,Public Health Agency of Canada,,5023,42 st,T4G1A9,innisfail,ab
161,intercare corporate group inc. — brentwood care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N3Y6,calgary,ab
162,intercare corporate group inc. — chinook care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V4Y8,calgary,ab
163,intercare corporate group inc. — southwood care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2H1M9,calgary,ab
164,jack ady cancer centre,,Hospitals,Province of Alberta,,960,19 street,T1J1W5,lethbridge,ab
165,jasper (seton) healthcare centre,general,Hospitals,Public Health Agency of Canada,,518,robson st,T0E1E0,jasper,ab
166,kensington clinic,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2N0T3,calgary,ab
167,killam general hospital,general,Hospitals,Public Health Agency of Canada,,5203,49 ave,T0B2L0,killam,ab
168,killam health care centre,,Hospitals,Province of Alberta,,5203,49 avenue,T0B2L0,killam,ab
169,kingsway oral & maxillofacial surgery edmonton office,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M3Z7,edmonton,ab
170,kingsway oral & maxillofacial surgery grande prairie office,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T8V0Z8,grande prairie,ab
171,la crete continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0H2H0,la crete,ab
172,la crete health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0H2H0,la crete,ab
173,lac la biche healthcare centre,general,Hospitals,Public Health Agency of Canada,,9110,93 st,T0A2C0,lac la biche,ab
174,lacombe hospital & care centre,general,Hospitals,Public Health Agency of Canada,,5430,47 ave,T4L1G8,lacombe,ab
175,lamont health care centre,general,Hospitals,Public Health Agency of Canada,,5216,53 st,T0B2R0,lamont,ab
176,lasik md oliver village and cataract md edmonton,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5K2X4,edmonton,ab
177,leduc community hospital,general,Hospitals,Public Health Agency of Canada,,4210,48 st,T9E5Z3,leduc,ab
178,little bow continuing care centre,extended care,Hospitals,Public Health Agency of Canada,,316,armstrong st,T0L0N0,carmangay,ab
179,lloydminster continuing care centre,,Nursing and residential care facilities,Saskatchewan Health Authorities,,7402,29 street,T9V3N1,lloydminster,ab
180,magrath community health site,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0K1J0,magrath,ab
181,mahogany oral and maxillofacial surgery,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3M2P8,calgary,ab
182,manning community health centre,general,Hospitals,Public Health Agency of Canada,,600,2 st ne,T0H2M0,manning,ab
183,mannville care centre,long term care,Hospitals,Canadian Institute for Health Information,,,,T0B2W0,mannville,ab
184,manoir du lac,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0H2L0,mclennan,ab
185,margery e. yuill cancer centre,,Hospitals,Province of Alberta,,,666-5 street sw,T1A4H6,medicine hat,ab
186,masterpiece southland meadows,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1B0B9,medicine hat,ab
187,mayerthorpe health care centre,general,Hospitals,Public Health Agency of Canada,,4706,54 st,T0E1N0,mayerthorpe,ab
188,mazankowski alberta heart institute,cardiology,Hospitals,Public Health Agency of Canada,,11220,83 ave nw,T6G2B7,edmonton,ab
189,medicine hat regional hospital,general,Hospitals,Public Health Agency of Canada,,666,5 st sw,T1A4H6,medicine hat,ab
190,milk river health centre,general,Hospitals,Public Health Agency of Canada,,517,centre ave e,T0K1M0,milk river,ab
191,mineral springs hospital,extended care,Hospitals,Public Health Agency of Canada,,305,lynx st,T1L1H7,banff,ab
192,misericordia community hospital,general,Hospitals,Public Health Agency of Canada,,16940,87 ave,T5R4H5,edmonton,ab
193,myrnam health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B3K0,myrnham,ab
194,northeast community health centre,general,Hospitals,Public Health Agency of Canada,,14007,50 st,T5A5E4,edmonton,ab
195,northern lights regional health centre,general,Hospitals,Public Health Agency of Canada,,7,hospital st,T9H1P2,fort mcmurray,ab
196,northwest health centre,general,Hospitals,Public Health Agency of Canada,,11202,100 ave,T0H1Z0,high level,ab
197,oilfields general hospital,general,Hospitals,Public Health Agency of Canada,,717,government rd,T0L0H0,black diamond,ab
198,okotoks health and wellness centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1S2E9,okotoks,ab
199,olds hospital & care centre,general,Hospitals,Public Health Agency of Canada,,3901,57 ave,T4H1T4,olds,ab
200,our lady of the rosary hospital,,Hospitals,Province of Alberta,,5402,47 street,T0C0X0,castor,ab
201,park place seniors living inc. — benevolence care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5P3S7,edmonton,ab
202,park place seniors living inc. — devonshire care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6R3H2,edmonton,ab
203,park place seniors living inc. — generations,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3N1S3,calgary,ab
204,park place seniors living inc. — hardisty care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6A0H5,edmonton,ab
205,park place seniors living inc. — newport harbour care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3K6B4,calgary,ab
206,park place seniors living inc. — river ridge seniors village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A8V1,medicine hat,ab
207,peace river community cancer centre,,Hospitals,Province of Alberta,,10101,68 street,T8S1T6,peace river,ab
208,peace river community health centre,general,Hospitals,Public Health Agency of Canada,,10101,68 st,T8S1T6,peace river,ab
209,peter lougheed centre,general,Hospitals,Public Health Agency of Canada,,3500,26 ave ne,T1Y6J4,calgary,ab
210,pincher creek health centre,general,Hospitals,Public Health Agency of Canada,,1222,mill ave,T0K1W0,pincher creek,ab
211,piyami health centre,extended care,Hospitals,Public Health Agency of Canada,,301a,rogers ave,T0K1V0,picture butte,ab
212,plastic & cosmetic laser surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5R5W9,edmonton,ab
213,points west living grande prairie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8V3G9,grande prairie,ab
214,ponoka hospital and care centre,general,Hospitals,Public Health Agency of Canada,,5800,57 ave,T4J1P1,ponoka,ab
215,provost health centre,general,Hospitals,Public Health Agency of Canada,,5002,54 ave,T0B3S0,provost,ab
216,qualicare ltd. — citadel care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8N7K8,st albert,ab
217,qualicare ltd. — jubilee lodge nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6A3A8,edmonton,ab
218,qualicare ltd. — northcott care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4J1P4,ponoka,ab
219,qualicare ltd. — rivercrest care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8L2A5,fort saskatchewan,ab
220,queen elizabeth ii hospital,general,Hospitals,Public Health Agency of Canada,,10409,98 st,T8V2E8,grande prairie,ab
221,radway continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A2V0,radway,ab
222,rainbow lake health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0H2Y0,rainbow lake,ab
223,raymond health centre,general,Hospitals,Public Health Agency of Canada,,150,n 4 st e,T0K2S0,raymond,ab
224,red deer regional hospital centre,general,Hospitals,Public Health Agency of Canada,,3942,50a ave,T4N6R2,red deer,ab
225,redwater health centre,general,Hospitals,Public Health Agency of Canada,,4812,58 st,T0A2W0,redwater,ab
226,remington laser dermatology centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2H2H8,calgary,ab
227,renew oral and facial surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T6G1B9,edmonton,ab
228,retirement concepts — millrise place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2Y5B9,calgary,ab
229,revera inc. — bow crest care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B0C7,calgary,ab
230,revera inc. — jasper place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R2V6,edmonton,ab
231,revera inc. — mckenzie towne care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2Z4G4,calgary,ab
232,revera inc. — miller crossing,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5A5J4,edmonton,ab
233,revera inc. — mount royal care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2T3C2,calgary,ab
234,revera inc. — riverview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A4C2,medicine hat,ab
235,revera inc. — south terrace continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6H3J4,edmonton,ab
236,richmond road diagnostic & treatment centre,,Hospitals,Province of Alberta,,1820,richmond road sw,T2T5C7,calgary,ab
237,rimbey hospital & care centre,general,Hospitals,Public Health Agency of Canada,,5228,50 ave,T0C2J0,rimbey,ab
238,riverview surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T3B2E7,calgary,ab
239,rocky mountain house health centre,general,Hospitals,Public Health Agency of Canada,,5016,52 ave,T4T1T2,rocky mountain house,ab
240,rocky mountain surgery centre inc.,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2X1P1,calgary,ab
